Acre , -9.0238 , -70.812
Alagoas , -9.5713 , -36.782
Amapa , 0.902 , -52.003
Amazonas , -3.4168 , -65.8561
Bahia , -12.5797 , -41.7007
Ceara , -5.4984 , -39.3206
Distrito Federal , -15.7998 , -47.8645
Espirito Santo , -19.1834 , -40.3089
Goias , -15.827 , -49.8362
Maranhao , -4.9609 , -45.2744
Mato Grosso , -12.6819 , -56.9211
Mato Grosso do Sul , -20.7722 , -54.7852
Minas Gerais , -18.5122 , -44.555
Para , -1.9981 , -54.9306
Paraiba , -7.24 , -36.782
Parana , -25.2521 , -52.0215
Pernambuco , -8.8137 , -36.9541
Piaui , -7.7183 , -42.7289
Rio Grande do Norte , -5.4026 , -36.9541
Rio Grande do Sul , -30.0346 , -51.2177
Rio de Janeiro , -22.9068 , -43.1729
Rondonia , -11.5057 , -63.5806
Roraima , -2.7376 , -62.0751
Santa Catarina , -27.2423 , -50.2189
Sao Paulo , -23.5505 , -46.6333
Sergipe , -10.5741 , -37.3857
Tocantins , -10.1753 , -48.2982

